IUCN_Family,Genus,Species
SAPINDACEAE,Acer,acuminatum
SAPINDACEAE,Acer,acutum
SAPINDACEAE,Acer,albopurpurascens
SAPINDACEAE,Acer,amamiense
SAPINDACEAE,Acer,amplum
SAPINDACEAE,Acer,argutum
SAPINDACEAE,Acer,barbinerve
SAPINDACEAE,Acer,binzayedii
SAPINDACEAE,Acer,buergerianum
SAPINDACEAE,Acer,caesium
SAPINDACEAE,Acer,calcaratum
SAPINDACEAE,Acer,campbellii
SAPINDACEAE,Acer,capillipes
SAPINDACEAE,Acer,cappadocicum
SAPINDACEAE,Acer,carpinifolium
SAPINDACEAE,Acer,caudatum
SAPINDACEAE,Acer,chiangdaoense
SAPINDACEAE,Acer,chienii
SAPINDACEAE,Acer,chingii
SAPINDACEAE,Acer,chunii
SAPINDACEAE,Acer,cissifolium
SAPINDACEAE,Acer,confertifolium
SAPINDACEAE,Acer,cordatum
SAPINDACEAE,Acer,coriaceifolium
SAPINDACEAE,Acer,crassum
SAPINDACEAE,Acer,crataegifolium
SAPINDACEAE,Acer,davidii
SAPINDACEAE,Acer,diabolicum
SAPINDACEAE,Acer,distylum
SAPINDACEAE,Acer,duplicatoserratum
SAPINDACEAE,Acer,elegantulum
SAPINDACEAE,Acer,erianthum
SAPINDACEAE,Acer,erythranthum
SAPINDACEAE,Acer,fabri
SAPINDACEAE,Acer,fenzelianum
SAPINDACEAE,Acer,flabellatum
SAPINDACEAE,Acer,floridanum
SAPINDACEAE,Acer,forrestii
SAPINDACEAE,Acer,fulvescens
SAPINDACEAE,Acer,gracilifolium
SAPINDACEAE,Acer,granatense
SAPINDACEAE,Acer,griseum
SAPINDACEAE,Acer,henryi
SAPINDACEAE,Acer,heptaphlebium
SAPINDACEAE,Acer,hilaense
SAPINDACEAE,Acer,hookeri
SAPINDACEAE,Acer,hyrcanum
SAPINDACEAE,Acer,iranicum
SAPINDACEAE,Acer,japonicum
SAPINDACEAE,Acer,kawakamii
SAPINDACEAE,Acer,komarovii
SAPINDACEAE,Acer,kungshanense
SAPINDACEAE,Acer,kuomeii
SAPINDACEAE,Acer,kwangnanense
SAPINDACEAE,Acer,kweilinense
SAPINDACEAE,Acer,laevigatum
SAPINDACEAE,Acer,laurinum
SAPINDACEAE,Acer,laxiflorum
SAPINDACEAE,Acer,leipoense
SAPINDACEAE,Acer,longipes
SAPINDACEAE,Acer,lucidum
SAPINDACEAE,Acer,lungshengense
SAPINDACEAE,Acer,mandshuricum
SAPINDACEAE,Acer,maximowiczianum
SAPINDACEAE,Acer,maximowiczii
SAPINDACEAE,Acer,mazandaranicum
SAPINDACEAE,Acer,metcalfii
SAPINDACEAE,Acer,miaotaiense
SAPINDACEAE,Acer,micranthum
SAPINDACEAE,Acer,miyabei
SAPINDACEAE,Acer,morifolium
SAPINDACEAE,Acer,nipponicum
SAPINDACEAE,Acer,obtusifolium
SAPINDACEAE,Acer,okamotoanum
SAPINDACEAE,Acer,oligocarpum
SAPINDACEAE,Acer,oliverianum
SAPINDACEAE,Acer,osmastonii
SAPINDACEAE,Acer,paihengii
SAPINDACEAE,Acer,pauciflorum
SAPINDACEAE,Acer,paxii
SAPINDACEAE,Acer,pectinatum
SAPINDACEAE,Acer,pentaphyllum
SAPINDACEAE,Acer,pentapomicum
SAPINDACEAE,Acer,pilosum
SAPINDACEAE,Acer,poliophyllum
SAPINDACEAE,Acer,pseudosieboldianum
SAPINDACEAE,Acer,pseudowilsonii
SAPINDACEAE,Acer,pubinerve
SAPINDACEAE,Acer,pubipetiolatum
SAPINDACEAE,Acer,pycnanthum
SAPINDACEAE,Acer,rubescens
SAPINDACEAE,Acer,rufinerve
SAPINDACEAE,Acer,sempervirens
SAPINDACEAE,Acer,serrulatum
SAPINDACEAE,Acer,shenkanense
SAPINDACEAE,Acer,shihweii
SAPINDACEAE,Acer,shirasawanum
SAPINDACEAE,Acer,sieboldianum
SAPINDACEAE,Acer,sikkimense
SAPINDACEAE,Acer,sinense
SAPINDACEAE,Acer,sino-oblongum
SAPINDACEAE,Acer,sinopurpurascens
SAPINDACEAE,Acer,skutchii
SAPINDACEAE,Acer,sosnowskyi
SAPINDACEAE,Acer,spicatum
SAPINDACEAE,Acer,stachyophyllum
SAPINDACEAE,Acer,sterculiaceum
SAPINDACEAE,Acer,sutchuenense
SAPINDACEAE,Acer,sycopseoides
SAPINDACEAE,Acer,takesimense
SAPINDACEAE,Acer,tataricum
SAPINDACEAE,Acer,tegmentosum
SAPINDACEAE,Acer,tenellum
SAPINDACEAE,Acer,tenuifolium
SAPINDACEAE,Acer,thomsonii
SAPINDACEAE,Acer,tibetense
SAPINDACEAE,Acer,tonkinense
SAPINDACEAE,Acer,triflorum
SAPINDACEAE,Acer,truncatum
SAPINDACEAE,Acer,tschonoskii
SAPINDACEAE,Acer,tsinglingense
SAPINDACEAE,Acer,turkestanicum
SAPINDACEAE,Acer,tutcheri
SAPINDACEAE,Acer,ukurunduense
SAPINDACEAE,Acer,undulatum
SAPINDACEAE,Acer,velutinum
SAPINDACEAE,Acer,wangchii
SAPINDACEAE,Acer,wardii
SAPINDACEAE,Acer,wilsonii
SAPINDACEAE,Acer,yangbiense
SAPINDACEAE,Acer,yinkunii
SAPINDACEAE,Acer,yui
BETULACEAE,Alnus,djavanshirii
BETULACEAE,Alnus,dolichocarpa
BETULACEAE,Alnus,lusitanica
BETULACEAE,Alnus,maritima
THEACEAE,Apterosperma,oblata
BETULACEAE,Betula,bomiensis
BETULACEAE,Betula,calcicola
BETULACEAE,Betula,corylifolia
BETULACEAE,Betula,delavayi
BETULACEAE,Betula,klokovii
BETULACEAE,Betula,kwangsiensis
BETULACEAE,Betula,luminifera
BETULACEAE,Betula,potaninii
BETULACEAE,Betula,pumila
BETULACEAE,Betula,saviczii
BETULACEAE,Betula,schmidtii
THEACEAE,Camellia,anlungensis
THEACEAE,Camellia,aurea
THEACEAE,Camellia,azalea
THEACEAE,Camellia,brevistyla
THEACEAE,Camellia,bugiamapensis
THEACEAE,Camellia,caudata
THEACEAE,Camellia,chekiangoleosa
THEACEAE,Camellia,cherryana
THEACEAE,Camellia,confusa
THEACEAE,Camellia,connata
THEACEAE,Camellia,corallina
THEACEAE,Camellia,cordifolia
THEACEAE,Camellia,costata
THEACEAE,Camellia,costei
THEACEAE,Camellia,crapnelliana
THEACEAE,Camellia,crassicolumna
THEACEAE,Camellia,crassiphylla
THEACEAE,Camellia,cucphuongensis
THEACEAE,Camellia,curryana
THEACEAE,Camellia,cuspidata
THEACEAE,Camellia,dilinhensis
THEACEAE,Camellia,duyana
THEACEAE,Camellia,edithae
THEACEAE,Camellia,elongata
THEACEAE,Camellia,euphlebia
THEACEAE,Camellia,euryoides
THEACEAE,Camellia,fangchengensis
THEACEAE,Camellia,fascicularis
THEACEAE,Camellia,fleuryi
THEACEAE,Camellia,fluviatilis
THEACEAE,Camellia,formosensis
THEACEAE,Camellia,forrestii
THEACEAE,Camellia,fraterna
THEACEAE,Camellia,furfuracea
THEACEAE,Camellia,gaudichaudii
THEACEAE,Camellia,gilbertii
THEACEAE,Camellia,gracilipes
THEACEAE,Camellia,granthamiana
THEACEAE,Camellia,grijsii
